Capacity (bits),Flash type,transistor count,Date,Designer
256 Kb,NOR,262144,1985-01-01,Toshiba
1 Mb,NOR,1048576,1989-01-01,"Seeq, Intel"
4 Mb,NAND,4194304,1989-01-01,Toshiba
16 Mb,NOR,16777216,1991-01-01,Mitsubishi
32 Mb,NOR,33554432,1993-01-01,Intel
64 Mb,NOR,67108864,1994-01-01,NEC
64 Mb,NAND,67108864,1996-01-01,Hitachi
128 Mb,NAND,134217728,1996-01-01,"Samsung, Hitachi"
256 Mb,NAND,268435456,1999-01-01,"Hitachi, Toshiba"
512 Mb,NAND,536870912,2000-01-01,Toshiba
1 Gb,2-bit NAND,536870912,2001-01-01,Samsung
1 Gb,2-bit NAND,536870912,2001-01-01,"Toshiba, SanDisk"
2 Gb,NAND,2147483648,2002-01-01,"Samsung, Toshiba"
8 Gb,NAND,8589934592,2004-01-01,Samsung
16 Gb,NAND,17179869184,2005-01-01,Samsung
32 Gb,NAND,34359738368,2006-01-01,Samsung
128 Gb,Stacked NAND,128000000000,2007-01-01,Toshiba
256 Gb,Stacked NAND,256000000000,2008-01-01,Toshiba
1 Tb,Stacked 4-bit NAND,256000000000,2010-01-01,Toshiba
512 Gb,Stacked 2-bit NAND,256000000000,2011-01-01,Samsung
4 Tb,Stacked 3-bit V-NAND,1365333333504,2017-01-01,Samsung
8 Tb,Stacked 4-bit V-NAND,2048000000000,2019-01-01,Samsung
